,QB,M1_Points,M2_Points,Mean,drafted
0,Patrick Mahomes,349.18,373.44,361.31,False
2,Joe Burrow,340.13,332.53,336.33,False
7,Josh Allen,287.9,369.69,328.79,False
3,Dak Prescott,323.12,322.26,322.69,False
5,Jayden Daniels,293.33,323.05,308.19,False
1,Baker Mayfield,342.48,273.75,308.12,False
6,Kirk Cousins,291.76,286.22,288.99,False
4,Jared Goff,304.96,269.56,287.26,False
9,Matthew Stafford,275.79,282.22,279.0,False
8,Jordan Love,279.12,271.93,275.52,False
13,Jalen Hurts,255.02,285.79,270.41,False
10,Sam Howell,261.82,260.51,261.16,False
14,Tom Brady,251.76,263.48,257.62,False
17,Justin Herbert,231.51,280.75,256.13,False
11,Aaron Rodgers,257.21,246.93,252.07,False
12,Caleb Williams,255.06,244.03,249.54,False
15,Lamar Jackson,239.25,252.75,246.0,False
20,Justin Fields,219.79,250.77,235.28,False
18,Russell Wilson,229.26,237.22,233.24,False
16,Ben Roethlisberger,237.06,217.58,227.32,False
19,Geno Smith,226.72,225.46,226.09,False
21,Ryan Tannehill,214.98,210.96,212.97,False
24,Trevor Lawrence,195.46,219.78,207.62,False
23,Daniel Jones,199.04,210.13,204.58,False
22,Derek Carr,201.3,194.48,197.89,False
25,Teddy Bridgewater,185.15,194.9,190.02,False
27,Marcus Mariota,177.28,181.88,179.58,False
26,Drake Maye,177.47,172.42,174.94,False
29,Joshua Dobbs,168.19,179.71,173.95,False
28,Tua Tagovailoa,175.94,171.34,173.64,False
30,Desmond Ridder,167.75,171.43,169.59,False
31,Bryce Young,167.64,150.41,159.02,False
32,Gardner Minshew II,161.1,150.22,155.66,False
37,Mac Jones,140.8,165.24,153.02,False
34,Sam Darnold,151.4,153.15,152.28,False
35,Jimmy Garoppolo,150.53,145.56,148.05,False
36,Kenny Pickett,149.04,144.2,146.62,False
38,Kyler Murray,138.0,152.79,145.39,False
33,Zach Wilson,151.54,134.0,142.77,False
39,Andy Dalton,133.24,128.15,130.7,False
42,Jake Browning,113.2,133.48,123.34,False
43,Davis Mills,110.22,120.01,115.12,False
40,Will Levis,117.69,111.0,114.34,False
41,Cooper Rush,113.75,104.87,109.31,False
46,Carson Wentz,74.66,128.6,101.63,False
44,Mason Rudolph,91.17,91.05,91.11,False
45,Jameis Winston,89.19,85.63,87.41,False
47,Joe Flacco,71.1,87.34,79.22,False
48,Drew Lock,68.06,72.19,70.12,False
49,Deshaun Watson,67.37,71.07,69.22,False
52,Cam Newton,58.68,72.8,65.74,False
50,Jacoby Brissett,66.55,57.0,61.78,False
51,Mitchell Trubisky,59.88,60.7,60.29,False
53,Anthony Richardson,39.53,54.99,47.26,False
54,Tim Boyle,37.89,30.45,34.17,False
55,P.J. Walker,20.75,20.93,20.84,False
56,Tyrod Taylor,18.8,14.26,16.53,False
58,Nick Foles,12.86,14.32,13.59,False
57,Chase Daniel,14.16,9.04,11.6,False
