,RB,M1_Points,M2_Points,Mean,drafted
0,Derrick Henry,264.56,252.26,258.41,False
2,Bijan Robinson,249.52,258.52,254.02,False
4,Jahmyr Gibbs,238.83,262.88,250.86,False
1,Saquon Barkley,250.56,223.7,237.13,False
7,Joe Mixon,224.2,230.35,227.27,False
6,De'Von Achane,225.37,219.01,222.19,False
9,Josh Jacobs,210.64,226.89,218.76,False
5,James Cook,230.86,182.92,206.89,False
12,Bucky Irving,200.87,212.15,206.51,False
3,Kyren Williams,240.83,171.22,206.02,False
15,Jonathan Taylor,196.58,214.69,205.64,False
11,James Conner,203.92,201.86,202.89,False
8,Breece Hall,216.12,181.34,198.73,False
14,Alvin Kamara,196.87,200.23,198.55,False
10,David Montgomery,207.94,184.99,196.46,False
21,Najee Harris,182.53,206.22,194.38,False
19,Christian McCaffrey,184.52,196.47,190.5,False
13,Rachaad White,198.38,173.04,185.71,False
18,Tony Pollard,186.61,184.54,185.58,False
16,D'Andre Swift,193.07,176.21,184.64,False
20,Travis Etienne,183.08,180.92,182.0,False
30,Austin Ekeler,139.58,214.9,177.24,False
24,Aaron Jones,163.15,185.63,174.39,False
22,Kenneth Walker III,170.44,175.32,172.88,False
17,Chuba Hubbard,188.37,146.43,167.4,False
25,Tyrone Tracy Jr.,162.94,158.82,160.88,False
23,Brian Robinson Jr.,164.12,143.99,154.06,False
28,Rhamondre Stevenson,144.93,149.43,147.18,False
29,Devonta Freeman,139.86,133.36,136.61,False
32,AJ Dillon,129.33,141.47,135.4,False
26,Raheem Mostert,150.99,115.06,133.02,False
37,Chase Brown,125.88,131.43,128.66,False
36,Rico Dowdle,128.14,128.69,128.42,False
35,Zach Charbonnet,128.49,127.85,128.17,False
41,Devin Singletary,115.34,140.21,127.78,False
33,Javonte Williams,129.02,122.7,125.86,False
47,Ezekiel Elliott,98.32,152.86,125.59,False
27,Jerome Ford,149.3,100.57,124.94,False
34,Jaylen Warren,128.91,115.09,122.0,False
40,Tyler Allgeier,116.0,126.93,121.46,False
38,Devontae Booker,119.25,122.52,120.88,False
39,Isiah Pacheco,117.66,122.41,120.04,False
31,Gus Edwards,129.57,103.12,116.34,False
49,Antonio Gibson,95.12,132.65,113.88,False
53,Leonard Fournette,89.58,135.52,112.55,False
42,Kareem Hunt,112.93,110.48,111.71,False
45,Tyjae Spears,104.37,108.79,106.58,False
43,Alexander Mattison,110.53,102.29,106.41,False
44,Zack Moss,109.34,93.46,101.4,False
46,Latavius Murray,101.68,99.74,100.71,False
52,Ray Davis,91.1,101.83,96.46,False
51,Darrel Williams,92.28,94.63,93.46,False
65,Miles Sanders,71.26,113.36,92.31,False
50,J.K. Dobbins,93.15,87.22,90.18,False
101,Nick Chubb,39.97,139.21,89.59,False
48,Justice Hill,96.84,77.45,87.15,False
54,Isaac Guerendo,86.76,83.61,85.18,False
55,Jaleel McLaughlin,82.85,86.04,84.44,False
56,Jerick McKinnon,80.45,80.39,80.42,False
62,Samaje Perine,73.16,86.01,79.59,False
58,Sony Michel,78.7,77.74,78.22,False
60,Braelon Allen,77.72,76.81,77.26,False
57,Nyheim Hines,79.41,73.34,76.38,False
59,Tank Bigsby,78.05,73.6,75.82,False
90,Damien Harris,48.46,101.96,75.21,False
75,Dameon Pierce,59.86,89.63,74.74,False
73,D'Onta Foreman,60.72,85.27,73.0,False
69,Kenneth Gainwell,66.88,77.86,72.37,False
87,Melvin Gordon,49.25,94.26,71.76,False
70,Khalil Herbert,65.19,77.84,71.52,False
64,Rex Burkhead,71.33,71.12,71.22,False
63,Mark Ingram,72.38,69.27,70.82,False
67,J.D. McKissic,67.9,71.58,69.74,False
103,Jamaal Williams,38.14,99.71,68.92,False
83,Darrell Henderson,51.54,83.43,67.48,False
71,Roschon Johnson,63.14,71.55,67.34,False
61,Jordan Mason,73.46,61.16,67.31,False
147,Dalvin Cook,22.88,110.57,66.72,False
68,Alex Collins,66.92,64.92,65.92,False
127,Cordarrelle Patterson,28.42,103.37,65.9,False
66,Ameer Abdullah,68.91,61.41,65.16,False
72,Cam Akers,61.99,65.75,63.87,False
84,Chase Edmonds,51.09,74.72,62.9,False
98,Elijah Mitchell,42.9,81.97,62.44,False
74,Justin Jackson,60.4,60.34,60.37,False
100,James Robinson,40.83,78.76,59.8,False
78,Ty Johnson,56.02,61.91,58.96,False
79,Dontrell Hilliard,55.87,60.76,58.32,False
110,Michael Carter,35.22,80.45,57.84,False
77,Mike Davis,57.46,57.39,57.42,False
76,Emari Demercado,58.57,56.11,57.34,False
86,Kenyan Drake,49.76,61.7,55.73,False
82,Jeremy McNichols,52.42,55.95,54.18,False
106,Clyde Edwards-Helaire,37.29,65.41,51.35,False
80,Caleb Huntley,55.47,46.64,51.06,False
89,Eno Benjamin,48.72,49.82,49.27,False
91,Emanuel Wilson,47.75,49.35,48.55,False
88,Chris Carson,48.75,46.0,47.38,False
81,Ty Chandler,54.97,38.46,46.72,False
95,Ronald Jones II,44.78,45.25,45.02,False
94,Audric Estime,44.91,44.33,44.62,False
92,David Johnson,47.68,39.77,43.72,False
93,Matt Breida,45.0,41.99,43.5,False
96,Peyton Barber,44.43,42.22,43.32,False
133,Rashaad Penny,26.55,58.45,42.5,False
97,Carlos Hyde,43.69,41.03,42.36,False
99,Trey Benson,42.53,41.98,42.26,False
85,Zamir White,50.07,34.1,42.08,False
148,Jeff Wilson,22.76,59.62,41.19,False
114,Boston Scott,32.78,49.21,41.0,False
102,Isaiah Davis,39.42,40.7,40.06,False
108,Jamycal Hasty,36.4,39.39,37.89,False
107,Keaton Mitchell,37.02,36.14,36.58,False
109,Ty'Son Williams,35.81,35.74,35.78,False
118,D'Ernest Johnson,31.07,38.82,34.94,False
105,Pierre Strong,37.56,31.33,34.44,False
112,Chris Rodriguez,33.09,33.5,33.3,False
113,Sean Tucker,32.86,33.2,33.03,False
104,Deon Jackson,37.76,27.46,32.61,False
125,Dare Ogunbowale,29.35,34.48,31.92,False
121,Joshua Kelley,30.16,32.91,31.53,False
115,Royce Freeman,31.98,31.0,31.49,False
116,Jordan Howard,31.65,30.95,31.3,False
111,Jaylen Wright,33.49,28.46,30.98,False
122,Kendre Miller,29.89,31.73,30.81,False
124,Tevin Coleman,29.67,31.79,30.73,False
119,Blake Corum,30.64,30.16,30.4,False
123,Malik Davis,29.74,30.98,30.36,False
120,Kimani Vidal,30.35,29.48,29.92,False
165,Brandon Bolden,15.92,43.61,29.76,False
199,Myles Gaskin,4.74,51.98,28.36,False
137,Le'Veon Bell,25.68,30.63,28.16,False
126,Zonovan Knight,29.32,26.98,28.15,False
128,Derrick Gore,28.26,27.72,27.99,False
130,Elijhaa Penny,27.32,28.29,27.8,False
129,Jaret Patterson,27.49,27.89,27.69,False
131,Duke Johnson,27.18,28.02,27.6,False
117,Trey Sermon,31.43,23.1,27.26,False
135,Salvon Ahmed,26.06,28.25,27.16,False
132,Avery Williams,27.13,27.12,27.12,False
134,Tyler Goodson,26.18,26.68,26.43,False
139,Hassan Haskins,25.35,25.6,25.48,False
143,Craig Reynolds,24.48,26.15,25.32,False
144,Phillip Lindsay,24.31,25.75,25.03,False
140,Giovani Bernard,25.09,24.06,24.58,False
142,Marlon Mack,24.82,23.99,24.4,False
146,James White,23.8,24.89,24.34,False
136,Jordan Mims,25.85,21.9,23.88,False
160,Travis Homer,17.72,28.81,23.26,False
141,Carson Steele,24.96,20.64,22.8,False
150,Chris Brooks,22.23,23.35,22.79,False
154,Sincere McCormick,21.31,23.25,22.28,False
138,Patrick Taylor,25.53,18.59,22.06,False
151,Corey Clement,21.76,22.22,21.99,False
153,Adrian Peterson,21.71,21.91,21.81,False
152,Kenny McIntosh,21.73,21.36,21.54,False
145,Demetric Felton,23.92,18.93,21.42,False
149,Jalen Richard,22.6,19.23,20.92,False
155,Malcolm Brown,20.08,20.63,20.35,False
157,Chris Evans,19.17,21.26,20.22,False
156,Qadree Ollison,19.88,18.47,19.17,False
159,Austin Walter,18.15,18.1,18.12,False
177,DeeJay Dallas,10.79,25.45,18.12,False
158,Tony Jones,18.97,16.77,17.87,False
163,Hunter Luepke,16.34,15.76,16.05,False
167,Kevin Harris,15.62,15.78,15.7,False
162,Ronnie Rivers,16.78,13.51,15.14,False
170,Benny Snell Jr.,14.58,14.8,14.69,False
161,Gary Brightwell,17.1,12.26,14.68,False
168,Israel Abanikanda,15.24,14.0,14.62,False
164,Mike Boone,16.27,12.37,14.32,False
169,Godwin Igwebuike,14.72,13.01,13.86,False
185,Raheem Blackshear,9.45,18.08,13.76,False
171,Will Shipley,13.39,13.71,13.55,False
174,Keaontay Ingram,13.01,13.46,13.24,False
166,Eric Gray,15.85,10.36,13.1,False
173,Wayne Gallman,13.05,13.11,13.08,False
176,Jonathan Williams,11.11,13.68,12.4,False
172,Darrynton Evans,13.11,10.04,11.58,False
175,Jordan Wilkins,11.2,11.66,11.43,False
212,Damien Williams,2.85,19.06,10.96,False
183,Jermar Jefferson,9.86,11.99,10.92,False
178,Ryquell Armstead,10.75,10.89,10.82,False
182,Isaiah Spiller,10.02,10.85,10.43,False
181,Deuce Vaughn,10.04,10.67,10.36,False
179,Snoop Conner,10.32,10.29,10.3,False
180,Larry Rountree,10.22,9.88,10.05,False
184,Julius Chestnut,9.56,9.46,9.51,False
187,JaQuan Hardy,9.24,8.98,9.11,False
186,Trayveon Williams,9.35,7.98,8.66,False
188,Tyler Badie,8.32,8.25,8.28,False
190,La'Mical Perine,8.01,7.86,7.94,False
213,Ke'Shawn Vaughn,2.7,11.61,7.15,False
195,Andy Janovich,5.86,7.5,6.68,False
189,Trestan Ebner,8.09,5.06,6.57,False
191,Wendell Smallwood,6.51,6.6,6.56,False
192,Jonathon Brooks,6.43,6.23,6.33,False
193,Sione Vaki,6.07,6.55,6.31,False
194,Spencer Brown,5.94,6.07,6.01,False
197,Kene Nwangwu,5.25,6.3,5.78,False
207,J.J. Taylor,3.58,7.28,5.43,False
196,Jacob Kibodi,5.81,4.93,5.37,False
198,Jason Huntley,5.19,5.12,5.16,False
201,Ito Smith,4.32,5.74,5.03,False
200,Kalen Ballage,4.73,5.15,4.94,False
202,Dwayne Washington,4.05,4.26,4.15,False
203,Patrick Laird,3.93,3.77,3.85,False
204,Anthony McFarland Jr.,3.66,3.53,3.6,False
205,Terrell Jennings,3.65,3.44,3.54,False
206,Rasheen Ali,3.62,3.38,3.5,False
209,Jaylen Samuels,3.1,3.59,3.34,False
208,Jase McClellan,3.32,3.23,3.28,False
210,Scottie Phillips,2.97,3.13,3.05,False
217,Jonathan Ward,2.03,3.94,2.98,False
226,Tyrion Davis-Price,1.46,4.37,2.92,False
211,Blake Watson,2.95,2.87,2.91,False
214,Elijah Dotson,2.61,2.75,2.68,False
215,Jashaun Corbin,2.28,2.6,2.44,False
216,Kylin Hill,2.27,2.12,2.2,False
218,Zach Evans,1.96,1.93,1.94,False
221,Trey Ragas,1.63,2.13,1.88,False
219,Reggie Bonnafon,1.79,1.75,1.77,False
223,MarShawn Lloyd,1.54,1.96,1.75,False
220,Aaron Shampklin,1.72,1.7,1.71,False
222,Jake Funk,1.61,1.63,1.62,False
225,Chris Collier,1.47,1.37,1.42,False
227,Ryan Nall,1.41,1.35,1.38,False
228,George Holani,1.37,1.39,1.38,False
224,Devine Ozigbo,1.54,1.22,1.38,False
229,John Kelly,1.36,1.33,1.35,False
231,Cody Schrader,1.26,1.35,1.31,False
230,Jacques Patrick,1.33,1.25,1.29,False
232,Mekhi Sargent,1.25,1.15,1.2,False
233,Buddy Howell,1.14,1.11,1.12,False
234,Evan Hull,0.85,1.06,0.96,False
235,Damarea Crockett,0.71,0.71,0.71,False
236,Nathan Cottrell,0.56,0.4,0.48,False
237,British Brooks,0.31,0.24,0.28,False
238,Nate McCrary,0.05,-0.06,-0.0,False
239,Kenjon Barner,-0.08,-0.08,-0.08,False
240,Trenton Cannon,-0.32,-0.32,-0.32,False
241,Dylan Laube,-0.86,-1.36,-1.11,False
