,TE,M1_Points,M2_Points,Mean,drafted
0,Brock Bowers,194.44,199.65,197.04,False
1,Trey McBride,188.8,184.36,186.58,False
2,Travis Kelce,164.24,194.99,179.62,False
4,Sam LaPorta,153.85,178.21,166.03,False
3,Zach Ertz,158.18,148.91,153.55,False
6,George Kittle,132.29,155.6,143.94,False
10,Mark Andrews,112.85,159.55,136.2,False
5,Cole Kmet,134.18,123.21,128.7,False
7,Tucker Kraft,122.38,131.73,127.06,False
8,Evan Engram,115.4,110.91,113.16,False
12,Cade Otton,111.34,109.55,110.44,False
11,Kyle Pitts,112.03,107.52,109.78,False
13,Logan Thomas,105.45,98.86,102.16,False
15,David Njoku,101.97,100.85,101.41,False
9,Jonnu Smith,113.26,88.38,100.82,False
17,Dallas Goedert,96.69,102.45,99.57,False
14,Gerald Everett,102.15,96.1,99.12,False
16,Tyler Conklin,97.68,95.61,96.65,False
21,Taysom Hill,56.64,114.08,85.36,False
18,Chigoziem Okonkwo,84.26,80.58,82.42,False
19,Noah Gray,78.43,66.39,72.41,False
22,Daniel Bellinger,56.21,57.67,56.94,False
20,Kylen Granson,59.87,53.28,56.58,False
24,Tommy Tremble,47.25,44.37,45.81,False
23,Harrison Bryant,48.66,41.32,44.99,False
25,Durham Smythe,41.46,41.51,41.48,False
27,Jordan Akins,35.1,32.35,33.72,False
28,Connor Heyward,33.95,31.09,32.52,False
26,Peyton Hendershot,35.14,23.47,29.3,False
30,Eric Ebron,30.34,27.86,29.1,False
29,Drew Sample,30.88,26.83,28.85,False
31,Tanner Hudson,27.82,28.39,28.1,False
32,Blake Bell,19.69,16.61,18.15,False
35,Charlie Kolar,13.25,19.87,16.56,False
33,Andrew Beck,18.67,12.47,15.57,False
34,Armani Rogers,16.13,12.27,14.2,False
