,TE,Points
0,Brock Bowers,194.44
1,Trey McBride,188.8
5,Travis Kelce,164.24
54,Zach Ertz,158.18
14,Sam LaPorta,153.85
17,Cole Kmet,134.18
15,George Kittle,132.29
4,Tucker Kraft,122.38
34,Evan Engram,115.4
2,Jonnu Smith,113.26
3,Mark Andrews,112.85
19,Kyle Pitts,112.03
6,Cade Otton,111.34
22,Logan Thomas,105.45
24,Gerald Everett,102.15
36,David Njoku,101.97
9,Tyler Conklin,97.68
20,Dallas Goedert,96.69
10,Chigoziem Okonkwo,84.26
8,Noah Gray,78.43
26,Kylen Granson,59.87
7,Taysom Hill,56.64
40,Daniel Bellinger,56.21
28,Harrison Bryant,48.66
61,Tommy Tremble,47.25
46,Durham Smythe,41.46
30,Peyton Hendershot,35.14
63,Jordan Akins,35.1
29,Connor Heyward,33.95
13,Drew Sample,30.88
62,Eric Ebron,30.34
11,Tanner Hudson,27.82
64,Blake Bell,19.69
49,Andrew Beck,18.67
48,Armani Rogers,16.13
12,Charlie Kolar,13.25
